Sample.Name,Bio.Normalization
190715_Blk_KM1906U14-Blk_C.mzML,1
190715_Poo_TruePooFK180310_Full1.mzML,1
190715_Poo_TruePooFK180310_Full2.mzML,1
190715_Poo_TruePooFK180310_Full3.mzML,1
190715_Poo_TruePooFK180310_Half1.mzML,0.5
190715_Poo_TruePooFK180310_Half2.mzML,0.5
190715_Poo_TruePooFK180310_Half3.mzML,0.5
190715_Smp_FK180310S62C1-25m_A.mzML,1
190715_Smp_FK180310S62C1-25m_B.mzML,1
190715_Smp_FK180310S62C1-25m_C.mzML,1
190715_Smp_FK180310S62C1-DCM_A.mzML,1
190715_Smp_FK180310S62C1-DCM_B.mzML,1
190715_Smp_FK180310S62C1-DCM_C.mzML,1
190715_Smp_FK180310S64C1-25m_A.mzML,1
190715_Smp_FK180310S64C1-25m_B.mzML,1
190715_Smp_FK180310S64C1-25m_C.mzML,1
190715_Smp_FK180310S64C1-DCM_A.mzML,1
190715_Smp_FK180310S64C1-DCM_B.mzML,1
190715_Smp_FK180310S64C1-DCM_C.mzML,1
190715_Smp_FK180310S77C1-25m_A.mzML,1
190715_Smp_FK180310S77C1-25m_B.mzML,1
190715_Smp_FK180310S77C1-25m_C.mzML,1
190715_Smp_FK180310S77C1-DCM_A.mzML,1
190715_Smp_FK180310S77C1-DCM_B.mzML,1
190715_Smp_FK180310S77C1-DCM_C.mzML,1
190715_Smp_FK180310S80C1-25m_A.mzML,1
190715_Smp_FK180310S80C1-25m_B.mzML,1
190715_Smp_FK180310S80C1-25m_C.mzML,1
190715_Smp_FK180310S80C1-DCM_A.mzML,1
190715_Smp_FK180310S80C1-DCM_B.mzML,1
190715_Smp_FK180310S80C1-DCM_C.mzML,1
190715_Std_4uMStdsMix1InH2O_1.mzML,1
190715_Std_4uMStdsMix1InH2O_2.mzML,1
190715_Std_4uMStdsMix1InMatrix_2.mzML,1
190715_Std_4uMStdsMix2InH2O_1.mzML,1
190715_Std_4uMStdsMix2InH2O_2.mzML,1
190715_Std_4uMStdsMix2InMatrix_1.mzML,1
190715_Std_4uMStdsMix2InMatrix_2.mzML,1
190715_Std_H2OinMatrix_1.mzML,1
190715_Std_H2OinMatrix_2.mzML,1
