"feature","mzmed","rtmed"
"FT006",75.10045,542.80132
"FT010",77.07338,312.19939
"FT011",77.07968,312.83435
"FT013",78.08062,312.29399
"FT034",104.07104,615.94086
"FT036",105.11074,554.64313
"FT042",113.0542,326.53717
"FT047",117.04864,325.46478
"FT050",117.07423,449.02403
"FT052",118.052,325.34714
"FT057",119.05287,325.4436
"FT058",119.08353,345.71774
"FT059",119.08984,345.71767
"FT064",120.09073,345.71774
"FT065",120.09316,345.80789
"FT068",121.03991,187.07113
"FT071",122.03159,416.10271
"FT072",122.03538,415.8539
"FT075",123.02787,415.8539
"FT082",124.10025,345.80182
"FT083",124.1181,450.75064
"FT091",130.06939,499.79095
"FT093",131.05342,599.59296
"FT104",133.10538,476.48804
"FT105",133.10542,306.10591
"FT109",134.10618,476.94366
"FT110",135.02364,788.86072
"FT113",136.04703,493.2825
"FT114",136.05083,493.4873
"FT119",137.04327,493.3075
"FT125",137.06522,230.29202
"FT126",138.04676,493.3075
"FT128",138.05587,230.86409
"FT133",139.05293,230.87987
"FT134",139.05838,379.63246
"FT135",139.05835,260.5675
"FT136",139.05923,230.89076
"FT139",141.00649,578.95303
"FT142",143.00373,578.7186
"FT146",144.08481,474.26337
"FT151",145.10532,300.00882
"FT152",145.10533,462.58647
"FT153",145.98552,182.91479
"FT160",147.04749,416.92416
"FT161",147.07646,599.13727
"FT165",147.12098,498.56263
"FT168",148.0508,416.99477
"FT171",148.07983,599.64569
"FT175",149.04334,417.31357
"FT176",149.0639,652.22723
"FT178",149.10029,410.24031
"FT179",149.10939,534.60419
"FT180",149.10927,496.27773
"FT188",152.05673,403.26477
"FT192",153.06008,403.30797
"FT193",153.07387,191.52834
"FT194",153.07723,358.73456
"FT197",154.07717,191.31033
"FT199",155.05413,403.35117
"FT201",156.05751,403.16591
"FT203",156.08496,438.66862
"FT204",156.98407,574.0647
"FT220",161.10022,418.61163
"FT224",163.11583,403.2919
"FT225",163.11583,493.25528
"FT227",165.13253,535.21472
"FT228",165.13246,495.78761
"FT232",167.05376,416.05896
"FT236",168.12313,134.9054
"FT247",175.04211,402.41821
"FT249",175.10786,394.7045
"FT253",176.10311,644.72516
"FT265",180.00822,332.97168
"FT267",180.077,496.4032
"FT268",180.07699,565.97046
"FT269",180.07695,590.75195
"FT271",181.01149,332.77527
"FT273",181.06946,495.95654
"FT274",181.06943,567.25549
"FT275",181.0694,590.75195
"FT278",181.10514,413.50081
"FT279",181.12741,209.92468
"FT281",182.01478,332.75183
"FT286",184.03028,578.27203
"FT290",184.95602,451.00371
"FT292",186.95392,452.41608
"FT306",194.05642,581.8291
"FT308",194.09283,495.94115
"FT320",202.99707,791.93091
"FT343",226.18021,113.11605
"FT344",227.18349,112.07151
"FT345",227.98041,452.94173
"FT347",229.97819,452.32703
"FT348",230.99514,789.05945
"FT369",247.10056,494.82614
"FT370",248.02169,789.45169
"FT371",250.01757,789.12769
"FT376",253.14778,554.78003
"FT377",256.17549,119.89996
"FT386",269.10757,214.39277
"FT392",277.9652,791.07089
"FT393",278.96128,792.08356
"FT400",287.044,545.57263
"FT404",293.99096,790.90021
"FT406",300.09242,158.61281
"FT417",334.13284,607.46698
"FT418",338.05019,548.34799
"FT419",340.04734,548.34799
"FT420",344.22803,112.38622
"FT422",350.93186,789.60663
"FT423",351.93238,789.93835
"FT424",352.92813,789.77249
"FT429",365.01085,789.01535
"FT431",367.95858,789.73044
"FT433",372.19044,606.05249
"FT442",392.95913,788.85342
"FT443",393.95468,789.85425
"FT452",444.05679,547.97473
"FT455",466.92647,789.8963
"FT456",467.92233,789.70068
"FT458",478.00972,789.71466
"FT459",480.00489,789.10944
"FT464",581.92026,790.32898
"FT465",582.91648,790.42096
"FT466",593.00355,790.00928
"FT467",594.00246,789.69208
"FT468",594.99961,789.33148
"FT471",696.91442,790.10635
"FT472",697.91078,789.59274
"FT474",709.99423,789.7532
"FT477",812.905,789.47083
"FT479",824.98813,789.23666
